SKIP	32x32 	1.0 	5.0 	7.0 	6.75 	
SKIP	64x64 	0.0 	0.0 	10.0 	8.0 	
SKIP	16x16 	4.125 	6.875 	3.375 	3.4375 	
Merge SMP	16x16 	3.875 	3.875 	0.125 	0.0625 	
SKIP	8x8 	2.625 	2.71875 	0.9375 	0.78125 	
Merge SMP	8x8 	2.98438 	1.96875 	0.140625 	0.109375 	
Merge SMP	32x64 	0.0 	0.0 	1.0 	1.0 	
Inter SMP	64x64 	0.0 	0.0 	0.0 	2.0 	
Inter SMP	16x16 	1.4375 	0.375 	0.0625 	0.0 	
Inter SMP	8x8 	1.42188 	0.296875 	0.03125 	0.078125 	
Merge SMP	32x32 	0.0 	1.25 	0.0 	0.5 	
Merge AMP	12x16 	0.609375 	0.46875 	0.09375 	0.0 	
Inter SMP	32x32 	0.75 	0.0 	0.0 	0.25 	
Merge SMP	8x16 	0.65625 	0.15625 	0.0625 	0.03125 	
Merge AMP	48x64 	0.0 	0.0 	0.75 	0.0 	
Merge SMP	16x32 	0.125 	0.25 	0.125 	0.25 	
Inter SMP	4x8 	0.554688 	0.078125 	0.0234375 	0.0390625 	
Merge AMP	16x12 	0.375 	0.09375 	0.046875 	0.09375 	
Inter AMP	12x16 	0.515625 	0.09375 	0.0 	0.0 	
Merge SMP	4x8 	0.367188 	0.109375 	0.0234375 	0.0234375 	
Inter SMP	16x32 	0.375 	0.0 	0.125 	0.0 	
Inter SMP	16x8 	0.28125 	0.09375 	0.03125 	0.0625 	
Inter SMP	8x4 	0.351562 	0.078125 	0.0078125 	0.0234375 	
Inter AMP	16x12 	0.328125 	0.09375 	0.0 	0.0 	
Inter SMP	8x16 	0.28125 	0.09375 	0.0 	0.03125 	
Merge SMP	8x4 	0.304688 	0.0625 	0.0234375 	0.0078125 	
Merge AMP	4x16 	0.25 	0.09375 	0.03125 	0.0 	
Merge SMP	16x8 	0.09375 	0.09375 	0.09375 	0.0625 	
Inter SMP	32x16 	0.125 	0.0 	0.0 	0.125 	
Merge SMP	32x16 	0.125 	0.0 	0.0 	0.125 	
Merge AMP	16x64 	0.0 	0.0 	0.25 	0.0 	
Merge AMP	16x4 	0.1875 	0.046875 	0.0 	0.015625 	
Inter AMP	4x16 	0.125 	0.09375 	0.0 	0.0 	
Inter AMP	32x24 	0.0 	0.0 	0.0 	0.1875 	
Merge AMP	24x32 	0.0 	0.0 	0.0 	0.1875 	
Inter AMP	16x4 	0.046875 	0.015625 	0.015625 	0.015625 	
Merge AMP	8x32 	0.0 	0.0 	0.0 	0.0625 	
Merge AMP	32x8 	0.0 	0.0 	0.0 	0.0625 	
Intra	4x4 	0.046875 	0.0 	0.0 	0.0 	
Intra	8x8 	0.03125 	0.0 	0.0 	0.0 	



SKIP 	7.75 	14.59375 	21.3125 	18.96875 	
Merge SMP 	8.531256 	7.765625 	1.59375 	2.171875 	
Inter SMP 	5.57813 	1.015625 	0.28125 	2.609375 	
Merge AMP 	1.421875 	0.703125 	1.171875 	0.421875 	
Inter AMP 	1.015625 	0.296875 	0.015625 	0.203125 	
Intra 	0.078125 	0.0 	0.0 	0.0 	



TU	32x32 	2.5 	5.25 	19.0 	19.0 	
TU	16x16 	5.625 	8.6875 	4.0625 	3.8125 	
TU	8x8 	7.03125 	5.51562 	1.0625 	1.3125 	
TU	4x4 	9.21875 	4.92188 	0.25 	0.25 	






